workflow,scope,n,control_rate,remaining_error_n,fn,fp,sensitivity,specificity,balanced_accuracy
v111_base,all_domains,699,78.83%,4,1,3,99.63%,99.30%,99.47%
v111_base,internal_all,591,77.33%,4,1,3,99.55%,99.18%,99.37%
v111_base,old_data,285,74.04%,1,0,1,100.00%,99.31%,99.65%
v111_base,third_batch,306,80.39%,3,1,2,98.78%,99.11%,98.94%
v111_base,strict_external,108,87.04%,0,0,0,100.00%,100.00%,100.00%
v118_global_all_internal_rule,all_domains,699,79.97%,1,1,0,99.63%,100.00%,99.81%
v118_global_all_internal_rule,internal_all,591,78.68%,1,1,0,99.55%,100.00%,99.78%
v118_global_all_internal_rule,old_data,285,76.14%,0,0,0,100.00%,100.00%,100.00%
v118_global_all_internal_rule,third_batch,306,81.05%,1,1,0,98.78%,100.00%,99.39%
v118_global_all_internal_rule,strict_external,108,87.04%,0,0,0,100.00%,100.00%,100.00%
leave_domain_selected_two_signal,all_domains,699,79.83%,2,1,1,99.63%,99.77%,99.70%
leave_domain_selected_two_signal,internal_all,591,78.51%,2,1,1,99.55%,99.73%,99.64%
leave_domain_selected_two_signal,old_data,285,76.14%,0,0,0,100.00%,100.00%,100.00%
leave_domain_selected_two_signal,third_batch,306,80.72%,2,1,1,98.78%,99.55%,99.17%
leave_domain_selected_two_signal,strict_external,108,87.04%,0,0,0,100.00%,100.00%,100.00%
